focus,entity_type,source
A guide to clinical trials for cancer,disease,ADAM
A guide to herbal remedies,disease,ADAM
A1C test,disease,ADAM
Aarskog syndrome,disease,ADAM
Aase syndrome,disease,ADAM
Abdomen - swollen,disease,ADAM
Abdominal aortic aneurysm,disease,ADAM
Abdominal aortic aneurysm repair - open,disease,ADAM
Abdominal aortic aneurysm repair - open - discharge,disease,ADAM
Abdominal bloating,disease,ADAM
Abdominal CT scan,disease,ADAM
Abdominal exploration,disease,ADAM
Abdominal girth,disease,ADAM
Abdominal mass,disease,ADAM
Abdominal MRI scan,disease,ADAM
Abdominal pain,disease,ADAM
Abdominal pain - children under age 12,disease,ADAM
Abdominal radiation - discharge,disease,ADAM
Abdominal rigidity,disease,ADAM
Abdominal sounds,disease,ADAM
Abdominal tap,disease,ADAM
Abdominal thrusts,disease,ADAM
Abdominal ultrasound,disease,ADAM
Abdominal wall fat pad biopsy,disease,ADAM
Abdominal wall surgery,disease,ADAM
Abdominal x-ray,disease,ADAM
ABO incompatibility,disease,ADAM
Abortion - medical,disease,ADAM
Abortion - surgical,disease,ADAM
Abortion - surgical - aftercare,disease,ADAM
Abscess,disease,ADAM
Abscess - abdomen or pelvis,disease,ADAM
Abscess scan - radioactive,disease,ADAM
Absence seizure,disease,ADAM
Absent pulmonary valve,disease,ADAM
Acanthosis nigricans,disease,ADAM
ACE blood test,disease,ADAM
ACE inhibitors,disease,ADAM
Acetaminophen and codeine overdose,disease,ADAM
Acetaminophen dosing for children,disease,ADAM
Acetaminophen overdose,disease,ADAM
Acetone poisoning,disease,ADAM
Acetylcholine receptor antibody,disease,ADAM
Achalasia,disease,ADAM
Aches and pains during pregnancy,disease,ADAM
Achilles tendinitis,disease,ADAM
Achilles tendon repair,disease,ADAM
Achilles tendon rupture - aftercare,disease,ADAM
Achondrogenesis,disease,ADAM
Achondroplasia,disease,ADAM
Acid loading test (pH),disease,ADAM
Acid mucopolysaccharides,disease,ADAM
Acid soldering flux poisoning,disease,ADAM
Acid-fast stain,disease,ADAM
Acidosis,disease,ADAM
ACL reconstruction,disease,ADAM
ACL reconstruction - discharge,disease,ADAM
Acne,disease,ADAM
Acne - self-care,disease,ADAM
Acoustic neuroma,disease,ADAM
Acoustic trauma,disease,ADAM
Acquired platelet function defect,disease,ADAM
Acrodermatitis,disease,ADAM
Acrodysostosis,disease,ADAM
Acromegaly,disease,ADAM
ACTH (cosyntropin) stimulation test,disease,ADAM
ACTH blood test,disease,ADAM
Actinic keratosis,disease,ADAM
Actinomycosis,disease,ADAM
Acute,disease,ADAM
Acute adrenal crisis,disease,ADAM
Acute arterial occlusion - kidney,disease,ADAM
Acute cerebellar ataxia,disease,ADAM
Acute cholecystitis,disease,ADAM
Acute coronary syndrome,disease,ADAM
Acute cytomegalovirus (CMV) infection,disease,ADAM
Acute kidney failure,disease,ADAM
Acute lymphoblastic leukemia (ALL),disease,ADAM
Acute mountain sickness,disease,ADAM
Acute myelogenous leukemia (AML) - children,disease,ADAM
Acute myeloid leukemia,disease,ADAM
Acute nephritic syndrome,disease,ADAM
Acute pancreatitis,disease,ADAM
Acute respiratory distress syndrome,disease,ADAM
Acute tubular necrosis,disease,ADAM
Addison disease,disease,ADAM
Adenoid removal,disease,ADAM
