id,title,authors,abstract,categories,update_date,doi,journal_ref
demo.0001,Attention-based Sequence Transduction Without Recurrence,"A. Researcher, B. Scholar","We describe an encoder-decoder architecture for sequence transduction that relies entirely on attention mechanisms, dispensing with recurrent and convolutional layers. The model computes representations of its input and output using stacked self-attention and point-wise feed-forward layers, allowing significantly more parallelization during training. We evaluate the architecture on machine translation benchmarks and report competitive quality with reduced training time compared to recurrent baselines.",cs.CL cs.LG,2017-06-12,,
demo.0002,Bidirectional Pretraining of Deep Language Representations,"C. Linguist, D. Modeler","We introduce a language representation model designed to pretrain deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. The pretrained model can then be fine-tuned with one additional output layer to create state-of-the-art models for a wide range of tasks, including question answering and language inference, without substantial task-specific architecture modifications.",cs.CL,2018-10-11,,
demo.0003,Deep Residual Learning for Image Recognition,"E. Vision, F. Netbuilder","We present a residual learning framework to ease the training of substantially deeper convolutional networks than those used previously. We reformulate layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide empirical evidence showing these residual networks are easier to optimize and can gain accuracy from considerably increased depth on image classification benchmarks.",cs.CV cs.LG,2015-12-10,,
demo.0004,Generative Adversarial Networks for Realistic Image Synthesis,"G. Adversary, H. Discriminant","We propose a framework for estimating generative models via an adversarial process, in which two models are trained simultaneously: a generative model that captures the data distribution, and a discriminative model that estimates the probability that a sample came from the training data rather than the generator. Training corresponds to a minimax two-player game, and we show this framework can generate compelling samples across several image domains.",cs.LG cs.CV,2014-06-10,,
demo.0005,Playing Atari Games with Deep Reinforcement Learning,"I. Agent, J. Reward","We present a deep learning model that learns control policies directly from high-dimensional sensory input using reinforcement learning. The model is a convolutional neural network trained with a variant of Q-learning, whose input is raw pixels and whose output is a value function estimating future rewards. We apply this method to several arcade games and show it outperforms prior approaches on most of them without adjusting the architecture or hyperparameters between games.",cs.LG cs.AI,2013-12-19,,
demo.0006,A Scalable Consensus Protocol for Distributed Log Replication,"K. Systems, L. Distributed","We describe a consensus algorithm for managing a replicated log designed to be more understandable than existing alternatives while providing an equivalent level of fault tolerance and performance. The algorithm separates leader election, log replication, and safety, and includes mechanisms for cluster membership changes. We argue this decomposition improves understandability without compromising correctness under crash-recovery failures.",cs.DC cs.DB,2014-05-20,,
demo.0007,A Distributed Storage System for Structured Data at Scale,"M. Store, N. Table","We describe a distributed storage system for managing structured data designed to scale to petabytes of data across thousands of commodity servers. Many services use it to store data ranging from web indices to user data, needing to serve latency-sensitive applications and throughput-oriented batch jobs from the same system. We describe the data model, simple API, and design decisions that allow the system to achieve high performance and availability.",cs.DB cs.DC,2006-11-01,,
demo.0008,Practical Byzantine Fault Tolerance for Replicated State Machines,"O. Faulttolerant, P. Byzantine","We present an algorithm for state-machine replication that tolerates Byzantine faults, works correctly in asynchronous environments, and incorporates several important optimizations that make it practical to use. We describe the algorithm and its implementation and demonstrate through experiments that the approach imposes low overhead compared to non-replicated systems, making it suitable for building highly available services.",cs.DC cs.CR,1999-02-01,,
demo.0009,Differential Privacy: A Survey of Formal Guarantees for Data Analysis,"Q. Private, R. Anonym","We survey differential privacy, a rigorous mathematical definition of privacy that ensures the outcome of an analysis is roughly the same whether or not any single individual's data is included in the dataset. We describe common mechanisms for achieving differential privacy, including noise addition calibrated to sensitivity, and discuss the trade-offs between privacy guarantees and statistical accuracy for common queries.",cs.CR cs.DB,2011-08-14,,
demo.0010,Homomorphic Encryption Schemes for Computation on Encrypted Data,"S. Cipher, T. Encrypted","We discuss homomorphic encryption schemes that allow computations to be carried out on ciphertexts, generating an encrypted result which, when decrypted, matches the result of operations performed on the plaintext. We survey both partially and fully homomorphic constructions, discuss their computational overhead, and describe applications to privacy-preserving outsourced computation.",cs.CR,2010-03-25,,
demo.0011,An Empirical Study of Randomized Algorithms for Nearest Neighbor Search,"U. Random, V. Nearest","We study randomized algorithms for approximate nearest neighbor search in high-dimensional spaces, focusing on locality-sensitive hashing schemes. We analyze the trade-off between query time, memory usage, and approximation quality, and present empirical results across several benchmark datasets showing substantial speedups over exact linear-scan search at modest accuracy cost.",cs.DS cs.IR,2012-04-02,,
demo.0012,Approximation Algorithms for NP-Hard Scheduling Problems,"W. Complexity, X. Scheduler","We design polynomial-time approximation algorithms for several NP-hard scheduling problems on parallel machines. We give an approximation-preserving reduction between two classical scheduling variants and provide worst-case approximation ratio guarantees, along with matching lower bounds under standard complexity-theoretic assumptions.",cs.DS,2009-09-17,,
demo.0013,Software Testing at Scale: Continuous Integration Practices in Industry,"Y. Engineer, Z. Pipeline","We report on an empirical study of continuous integration and automated testing practices across large software organizations. We analyze build failure patterns, test flakiness, and the relationship between test suite size and defect escape rate, and offer recommendations for structuring test pyramids to balance feedback latency against coverage.",cs.SE,2016-07-08,,
demo.0014,Formal Verification of Concurrent Programs Using Model Checking,"A. Verify, B. Model","We present a model-checking approach for verifying safety and liveness properties of concurrent programs. We describe state-space reduction techniques, including partial-order reduction, that mitigate state explosion, and demonstrate the approach on mutual-exclusion protocols and lock-free data structures.",cs.SE cs.LO,2007-11-30,,
demo.0015,Graph Neural Networks for Relational Reasoning over Structured Data,"C. Graphlet, D. Relation","We survey graph neural network architectures that learn representations of nodes and edges by iteratively aggregating information from local neighborhoods. We discuss message-passing formulations, expressiveness limitations related to graph isomorphism testing, and applications to molecule property prediction, recommendation, and knowledge-graph completion.",cs.LG cs.AI,2019-03-02,,
demo.0016,Federated Learning: Collaborative Model Training Without Centralized Data,"E. Federate, F. Decentralized","We describe federated learning, a setting in which many clients collaboratively train a shared model while keeping their training data local. We discuss communication-efficient optimization algorithms, strategies for handling non-identically distributed client data, and privacy considerations that arise when gradients rather than raw data are transmitted.",cs.LG cs.DC,2017-02-17,,
demo.0017,Adversarial Examples and Robustness of Deep Neural Networks,"G. Robust, H. Perturb","We study the phenomenon of adversarial examples, small perturbations to inputs that cause deep neural networks to misclassify with high confidence despite being imperceptible to humans. We review attack methods, defensive training strategies including adversarial training, and open questions regarding the fundamental trade-off between robustness and standard accuracy.",cs.LG cs.CR,2018-01-19,,
demo.0018,Convolutional Architectures for Semantic Segmentation of Natural Images,"I. Pixel, J. Segment","We adapt convolutional network classifiers for dense, per-pixel semantic segmentation by replacing fully connected layers with fully convolutional ones and introducing skip connections that combine coarse, high-level information with fine, low-level detail. Our fully convolutional networks achieve improved segmentation accuracy while remaining efficient at inference time.",cs.CV,2015-03-08,,
demo.0019,Byte Pair Encoding and Subword Tokenization for Open-Vocabulary Translation,"K. Subword, L. Tokenize","We introduce a subword tokenization scheme based on byte pair encoding that allows neural machine translation models to handle an open vocabulary, including rare and unseen words, by representing them as sequences of frequent subword units. We show this approach improves translation quality on rare-word-heavy test sets without significantly increasing vocabulary size.",cs.CL,2016-08-31,,
